COD_PRINCIPIO_ACTIVO	PRINCIPIO_ACTIVO
35	ARNICA TM
37	ATAZANAVIR
45	BENSERAZIDA _ LEVODOPA
49	BENZOCAINA _ CLORURO CETILPIRIDINIO _ D_ PANTENOL
51	BETAHISTINA
53	BETAMETASONA _ ACIDO FUCIDINICO
55	BETAMETASONA _ CLORFENAMINA
57	BETAMETASONA _ GENTAMICINA
59	BEZAFIBRATO
63	BORATO DE SODIO
65	BRINZOLAMIDA
67	BROMURO IPRATROPIO
71	CALCIO ACETATO 
73	CANDESARTAN
75	CANDESARTAN CILEXETILO
77	CARBOMER _ MANITOL 
79	CARBONATO CALCIO _ CALCITRIOL
81	CARBONATO DE CALCIO
85	CARBONATO DE LITIO 
91	CEFPODOXIMA 
93	CEFTRIAXONA DISÓDICA  1 GR. I.M.
97	CETIRIZINA
99	CICLOSPORINA
105	CIPROFIBRATO 
107	CIPROFLOXACINO _DEXAMETASONA
109	CITRATO DE CALCIO TETRAHIDRATO 
111	CLINDAMICINA
113	CLOBETASOL
115	CLOBUTINOL
117	CLOBUTINOL _ ORCIPRENALINA
125	CLORANFENICOL
127	CLORDIAZEPÓXIDO CLORHIDRATO _ CLIDINIO BROMURO 
135	CLORHEXIDINA CLORHIDRATO 
137	CLORHIDRATO DE CIPROHEPTADINA _ VITAMINA A _ D2 _ B1 _ B2 _ B6 _ B12 _ NICOTINAMIDA _ VITAMINA C 
139	CLORHIDRATO DE CIPROHEPTADINA _ VITAMINA B1 _B2 _ B6 _ B3 _ ACIDO ASCORBICO
141	CLOTRIMAZOL
143	CLOTRIMAZOL _ BETAMETASONA
145	CLOTRIMAZOL _ DIPROPIONATO DE BETAMETASONA
147	CODEINA  _ PSEUDOEFEDRINA
149	CONDROITIN SULFATO _ GLUCOSAMINA
151	CORTICOTROPINA
153	TRIMETOPRIMA _ SULFAMETOXAZOL
157	DELTAMETRINA _ PIPERONIL BUTOXIDO
159	DESCLORFENAMINA _ BETAMETASONA
161	DESLORATADINA
163	DESMOPRESINA ACETATO TRIHIDRATO 
165	DESVENLAFAXINA
167	DICLOFENACO POTASICO
169	DICLOFENACO SODICO
173	DIGOXINA
175	DIHEXAZIN
177	DOMPERIDONA 
179	DOXICICLINA HICLATO 
183	DUTASTERIDA 
185	EFAVIRENZ
187	ELECTROLITOS
189	EMTRICITABINA _ TENOFOVIR DISOPROXIL FUMARATO
191	ERITROMICINA
193	ESCITALOPRAM OXALATO
195	EZETIMIBA 
197	FELODIPINO 
199	FEXOFENADINA CLORHIDRATO
201	FLUOCORTOLONA _ CINOCAINA
203	FORMOTEROL _ BUDESONIDA
205	FUMARATO FERROSO _  ACIDO ASCÓRBICO _ ACIDO FOLICO _ CIANOCOBALAMINA
207	GINSENG _ PROCAINA
209	GLICERINA
211	GLICLAZIDA
213	HALOPERIDOL
215	HIDROCORTISONA
217	HIDROXIDO ALUMINIO _ HIDROXIDO MAGNESIO
219	HIDROXIDO DE ALUMINIO _ HIDROXIDO DE MAGNESIO _ DIMETICONA
221	HIERRO COMO COMPLEJO DE HIERRO III POLIMALTOSADO
223	IBUPROFENO
225	IBUPROFENO _ PARACETAMOL
227	IBUPROFENO _ PSEUDOEFEDRINA
229	IMIPRAMINA
231	INSULINA HUMANA
235	IPATROPIO _ FENOTEROL
237	ISOSORBIDE
239	ITRACONAZOL 
241	KETOCONAZOL
243	KETOPROFENO
245	LACTOBACILLUS
247	LACTULOSA 
249	LANSOPRAZOL
251	LATANOPROST
253	LATANOPROST _ TIMOLOL MALEATO 
257	LEVETIRACETAM
259	LEVOCETIRIZINA
261	LEVODOPA _ CARBIDOPA 
263	LEVODROPROPIZINA 
265	LEVOFLOXACINO
269	LINCOMICINA
271	LOPINAVIR _ RITONAVIR
273	LORATADINA _ PSEUDOEFEDRINA 
275	LOSARTAN POTASICO _ HIDROCLOROTIAZIDA
277	LOVASTATINA
279	MATICO _ CALENDULA _ ARNICA
281	MELATONINA
283	METAMIZOL SODICO
285	METOPROLOL
287	METRONIDAZOL
289	MILNACIPRAN
291	MOCLOBEMIDA 
293	MONTELUKAST
297	NANDROLONA
299	NEOMICINA _ POLIMIXINA B _ DEXAMETASONA
301	NISTATINA
305	OMEPRAZOL
307	OXCARBAZEPINA
309	PANTOPRAZOL
311	PARACETAMOL _ CLORFENAMINA _ PSEUDOEFEDRINA
313	PARGEVERINA CLORHIDRATO
315	PAROXETINA 
