COD_CLASIFICACION	CLASIFICACION	CODIGO	PRODUCTO	RECETA_RETENIDA	COD_PRINCIPIO_ACTIVO	PRINCIPIO_ACTIVO	COD_CONCENTRACION	CONCENTRACION	COD_ACC_FARMACOLOGICA	ACCION_FARMACOLOGICA	COD_UNIDAD	UNIDAD_MEDIDA
261	MEDICAMENTOS	503.780	FASARAX JBE.(20MG/10ML) 120 ML.		1042	HIDROXIZINA CLORHIDRATO	7.441	20MG/10ML	802	ANTIHISTAMINICO	FR	FRASCO
261	MEDICAMENTOS	503.883	FITOMENADIONA 10 MG(IM) X 1 ML		1121	FITOMENADIONA (VIT K)	7.442	10 MG(IM) X 1 ML	965	HEMOSTATICO	AM	AMPOLLA
261	MEDICAMENTOS	503.898	FLIXONASE NASA. 50 MCGX120 DO		1187	FLUTICASONA	7.443	50 MCGX DOSIS	112	BRONCODILATADOR_  CORTICOSTEROIDE	FR	FRASCO
261	MEDICAMENTOS	503.899	FLIXOTIDE LF.125 MCG  X60DOSIS		1187	FLUTICASONA	10.045	125 MCG  X DOSIS	112	BRONCODILATADOR_  CORTICOSTEROIDE	FR	FRASCO
261	MEDICAMENTOS	503.906	FLEMEX J.A.T JBE 120CC		147	CODEINA  _ PSEUDOEFEDRINA	10.549	10 MG_7.5 MG X 5 ML	102	ANTITUSIVO _ EXPECTORANTE _ MUCOLITICO	FR	FRASCO
261	MEDICAMENTOS	503.909	FLAPEX GOTAS 15 ML.		2483	SIMETICONA	10.546	4 GR X 100 ML	2.484	ANTIFLATULENTO	FR	FRASCO
261	MEDICAMENTOS	503.910	FLAGYL SUSP.100 ML (40MG/ML)		287	METRONIDAZOL	7.447	40MG X ML	24	ANTIBIOTICO	FR	FRASCO
261	MEDICAMENTOS	503.923	FLEET ENEMA INFANTIL		1081	FOSFATO DE SODIO MONOBASICO_FOSFATO DE SODIO DIBASICO	8.638	83.45 GR X 100 GR	148	LAXANTE	FR	FRASCO
261	MEDICAMENTOS	503.924	FLEET ENEMA ADULTO		1081	FOSFATO DE SODIO MONOBASICO_FOSFATO DE SODIO DIBASICO	10.541	7 GR_19 GR X DOSIS	148	LAXANTE	FR	FRASCO
261	MEDICAMENTOS	503.937	FLUCLOXACILINA 250MG JBE 60 ML		1048	FLUCLOXACILINA	7.689	250 MG X 5 ML	24	ANTIBIOTICO	FR	FRASCO
261	MEDICAMENTOS	503.941	FLUTIVATE CREMA X 15 GR.		1187	FLUTICASONA	10.055	500 MCG X GR	116	CORTICOSTEROIDE	TU	TUBO
261	MEDICAMENTOS	503.960	FOSFATO(S) DE POTASIO 15% X 10		1188	FOSFATO DE POTASIO	7.839	15%	1.002	ELECTROLITOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	503.974	FLUCLOXACILINA 500 MG(12) D.U.		1048	FLUCLOXACILINA	8.482	500 MG X  COMP	24	ANTIBIOTICO	TB	TABLETA
261	MEDICAMENTOS	503.990	FRAXIPARINA 0,3 ML		1142	NADROPARINA CALCICA	10.543	9500 UI	36	ANTICOAGULANTE _ ANTITROMBOTICO	AM	AMPOLLA
261	MEDICAMENTOS	503.991	FRAXIPARINA 0,6 ML		1142	NADROPARINA CALCICA	10.543	9500 UI	36	ANTICOAGULANTE _ ANTITROMBOTICO	AM	AMPOLLA
261	MEDICAMENTOS	504.019	FUCIDIN APOS(10) INTERTUL X 1 SO		1113	ACIDO FUSIDICO	8.118	2 %	24	ANTIBIOTICO	SO	SOBRE
261	MEDICAMENTOS	504.056	FURACIN POMADA 15 GRS.		1961	NITROFURAZONA	10.081	0,2 GR X 100 GR	30	ANTIBIOTICO _ ANTISEPTICO	TU	TUBO
261	MEDICAMENTOS	504.118	INMUNOGL.  ANTITETANICA (FRIO)		1779	INMUNOGLOBULINA TETANICA	10.082	250 UI X 2ML	1.777	INMUNOGLOBULINA	AM	AMPOLLA
261	MEDICAMENTOS	508.534	TANSTON 500 MG.X 1 TAB(10)		1240	ACIDO MEFENAMICO	7.465	500 MG.X TAB	2.442	ANTIINFLAMATORIO_ANALGESICO	TB	TABLETA
261	MEDICAMENTOS	508.615	TELEBRIX _30 X 30 ML.		3147	IOXITALAMATO DE MEGLUMINA	8.949	66.03 GR X 100 ML	1.179	MEDIO DE CONTRASTE	AM	AMPOLLA
261	MEDICAMENTOS	508.633	TEGRETAL JARABE 120 ML		387	CARBAMAZEPINA	8.954	100 MG X 5 ML	50	ANTIEPILEPTICO _ ANTICONVULSIVANTE	FR	FRASCO
261	MEDICAMENTOS	508.640	TETRACICLINA 250 MG X 16 CAPSU								CJ	CAJA
261	MEDICAMENTOS	508.662	TEST PACK  CLEARBLUE		3309	TEST KIT	10.581	1 TEST	3.161	TEST EMBARAZO	UN	UNIDAD
261	MEDICAMENTOS	508.692	TIAMINA 30 MG X 1 ML		897	TIAMINA (VIT B1)	9.613	30 MG X ML	186	VITAMINOTERAPIA	AM	AMPOLLA
261	MEDICAMENTOS	508.712	TINTURA BENJUI  X ML		3442	RESINA BENJUI	10.090	TINTURA BENJUI  X ML	1.269	ANTISEPTICO LOCAL	ML	MILILITROS
