AccionesTerapeuticas_Clave	AccionesTerapeuticas_Descripcion
1	Antialcohólico
2	Antiácido
3	Antiflatulento
4	Carminativo
5	Antiespasmódico
6	Antagonista de los receptores H2
7	Antiulceroso
8	Anticolinérgico
10	Antiemético
11	Antinauseoso
12	Colerético
14	Anorexígeno
15	Inhibidor MAO-A
16	Lipotrópico
17	Laxante
18	Suavizante
19	Emoliente
20	Corticosteroide oftálmico
23	Colinérgico
25	Antidiarreico
26	Antibacteriano
29	Sustituto fisiológico de la lágrima
30	Anticonceptivo oral trifásico
31	Digestivo
32	Antidiabético
34	Antianginoso
35	Vitaminoterapia
36	Antibioticoterapia
37	Antiacneico tópico
38	Terapéutica cálcica
39	Polivitaminoterapia
40	Sedante natural
41	Lubricante oftálmico
42	Hemostático
43	Anticonceptivo hormonal
45	Anabólico
47	Anticoagulante
48	Inhibidor de la agregación plaquetaria
50	Test de embarazo
51	Tocolítico
52	Antibiótico ocular
53	Antiinflamatorio respiratorio
54	Inmunoestimulante
58	Hormonoterapia
65	Antihemofílico
68	Antiarrítmico
69	Antianémico
70	Hematínico
71	Fibrinolítico
72	Colagogo
73	Hipolipemiante
74	Albuminoterapia
75	Simpaticomimético
76	Antihipertensivo
77	Diurético
78	Vasodilatador cerebral
79	Antagonista del calcio
80	Antihemorroides
81	Citostático
82	Antivaricoso
83	Betabloqueador
84	Inhibidor de la ECA
86	Tratamiento del alcoholismo
87	Vasoactivador cerebral
88	Antihistamínico
89	Anestésico general
90	Antipsoriásico
91	Antibiótico
92	Antimicótico
93	Antiviral
94	Corticosteroide
95	Antiséptico
96	Desinfectante
97	Antiherpético
98	Antiacneico
99	Tricomonicida
100	Antiinfeccioso
103	Anticonceptivo
107	Antiinfeccioso urinario
109	Inmunomodulador
110	Antimetabolito
111	Alquilante
112	Antiinflamatorio
113	Antirreumático
114	Relajante muscular
115	Antigotoso
117	Anestésico oftálmico
118	Analgésico
119	Antiepiléptico
121	Antipirético
122	Antimigrañoso
123	Antiparkinsoniano
125	Neuroléptico
126	Hipnótico
127	Sedante
128	Tranquilizante
130	Antidepresivo
132	Psicoestimulante
133	Nootrópico
134	Neurotónico
135	Antiparasitario
136	Amebicida
137	Antihelmíntico
141	Descongestivo
142	Antialérgico
143	Antiasmático
144	Broncodilatador
145	Expectorante
149	Antieccematoso
150	Miótico
151	Midriático
152	Antiinfeccioso ótico
153	Lubricante
154	Gastrocinético
155	Hipoglucemiante
156	Inmunosupresor
160	Bloqueador adrenérgico
162	Rubefaciente tópico
164	Antiséptico urinario
165	Antiinfeccioso oftálmico
166	Anestésico local
167	Antiagregante plaquetario
169	Antiartrósico
170	Anticelulítico
171	Anticonvulsivo
172	Antidispéptico
173	Antifatigante
174	Antigripal
175	Antihemorrágico
176	Analgésico central
177	Medio de contraste
