Productos_Clave	Productos_Descripcion	Importancia	AccionesTerapeuticas_Clave	AccionesTerapeuticas_Descripcion
1	AB	9	193	Antiséptico bucofaríngeo
4	ABECIDIN A C D	9	303	Polivitamínico
6	ABINOL	1	550	Tranquilizante menor
6	ABINOL	9	224	Ansiolítico
7	ACANTEX	9	36	Antibioticoterapia
9	ACCUPRIL	1	76	Antihipertensivo
9	ACCUPRIL	2	84	Inhibidor de la ECA
14	ACEITE RICINO PURO	9	280	Evacuante intestinal
18	ACEITE RICINO	9	280	Evacuante intestinal
19	ACEITE RICINO	9	280	Evacuante intestinal
23	ACERDIL D	1	76	Antihipertensivo
23	ACERDIL D	2	84	Inhibidor de la ECA
23	ACERDIL D	9	77	Diurético
24	ACETATO DE SODIO	9	410	Alcalinizante
28	ACEVIT	9	303	Polivitamínico
29	ACICLOVIR	0	93	Antiviral
30	ACICLOVIR L.CH.	9	93	Antiviral
31	ACIDO ACETILSALICILICO	9	112	Antiinflamatorio
31	ACIDO ACETILSALICILICO	9	113	Antirreumático
31	ACIDO ACETILSALICILICO	9	118	Analgésico
31	ACIDO ACETILSALICILICO	9	121	Antipirético
33	ACIDO ASCORBICO	9	466	Vitamínico
36	ACIDO ASCORBICO	9	466	Vitamínico
39	ACIDO DEHIDROCOLICO L.CH.	1	12	Colerético
39	ACIDO DEHIDROCOLICO L.CH.	9	172	Antidispéptico
41	ACIDO NALIDIXICO L.CH.	1	164	Antiséptico urinario
41	ACIDO NALIDIXICO L.CH.	9	260	Quimioterápico
44	ACNAID JABON	9	98	Antiacneico
51	ACTAN	9	130	Antidepresivo
52	ACTEBRAL	9	486	Psicoenergético
53	ACTIFEDRIN	9	88	Antihistamínico
53	ACTIFEDRIN	9	182	Descongestivo nasal
54	ACTIFEDRIN ANTITUSIVO	9	88	Antihistamínico
54	ACTIFEDRIN ANTITUSIVO	9	179	Antitusivo
54	ACTIFEDRIN ANTITUSIVO	9	182	Descongestivo nasal
58	ACUODE	9	466	Vitamínico
60	ADALAT CAPSULAS	1	593	Terapéutica coronaria
60	ADALAT CAPSULAS	9	76	Antihipertensivo
60	ADALAT CAPSULAS	9	79	Antagonista del calcio
61	ADALAT OROS	1	76	Antihipertensivo
61	ADALAT OROS	9	34	Antianginoso
62	ADALAT RETARD	1	76	Antihipertensivo
62	ADALAT RETARD	9	34	Antianginoso
64	ADAX	9	128	Tranquilizante
64	ADAX	9	224	Ansiolítico
74	AERO ITAN	9	172	Antidispéptico
75	AEROCAMARA	9	370	Terapia inhaladora
77	AEROCHAMBER	9	370	Terapia inhaladora
79	AEROGASTROL	9	400	Regulador de la función motora digestiva
80	AEROLIN	9	51	Tocolítico
80	AEROLIN	9	143	Antiasmático
80	AEROLIN	9	144	Broncodilatador
82	AFLOGOL	9	466	Vitamínico
89	AGUA BIDESTILADA	9	322	Oxidante
91	AGUA DEL CARMEN	9	638	Tranquilizante natural
92	AGUA DE MELISA CARMINATIVA	9	4	Carminativo
92	AGUA DE MELISA CARMINATIVA	9	127	Sedante
93	AGUA OXIGENADA	9	341	Antiséptico tópico
93	AGUA OXIGENADA	9	1303	Decolorante cosmético
102	AKINETON	9	123	Antiparkinsoniano
107	ALCOHOL ALCANFORADO 10%	9	162	Rubefaciente tópico
109	ALCOHOL ALCANFORADO 10%	9	162	Rubefaciente tópico
110	ALCOHOL YODADO 0,65%	9	95	Antiséptico
116	ALERGAN	9	88	Antihistamínico
118	ALEXAN	1	81	Citostático
118	ALEXAN	2	247	Antineoplásico
120	ALGEX	1	118	Analgésico
120	ALGEX	2	213	Antiinflamatorio no esteroide
123	ALGIFEMIN	9	112	Antiinflamatorio
123	ALGIFEMIN	9	118	Analgésico
123	ALGIFEMIN	9	121	Antipirético
128	ALKERAN	9	111	Alquilante
128	ALKERAN	9	247	Antineoplásico
129	ALLEDRYL	9	88	Antihistamínico
135	ALPAZ	9	126	Hipnótico
136	ALPRAZOLAM	9	224	Ansiolítico
137	ALPRAZOLAM	9	224	Ansiolítico
