ID_KAIROS	Productos_Clave	Productos_Descripcion	Presentaciones_Descripcion	ClavePresentacion	Concentracion	UnidadConcentracion	Especificacion	ViaAdministracion	Medio	CantidadEnvase	Dosis	CantidadUnidad	Laboratorios_Clave	Abreviatura	Laboratorios_Descripcion
1	1	AB	Comp. x 12	2	0				Comp.	12	0	0	77	SAVAL	Laboratorio Saval S.A.
2	4	ABECIDIN A C D	Gotas x 30ml	1	0				Gotas	0	0	30	56	PASTEUR	Laboratorios Pasteur Ltda.
3	6	ABINOL	1mg Comp. x 30	1	1	mg			Comp.	30	0	0	40	LAFI	Ver RECALCINE
4	6	ABINOL	2mg Comp. x 30	2	2	mg			Comp.	30	0	0	40	LAFI	Ver RECALCINE
5	7	ACANTEX	1g IM Iny Amp. x 1	4	1	g		IM Iny	Amp.	1	0	0	68	ROCHE	Productos Roche Ltda.
6	7	ACANTEX	1g IV Iny Amp. x 1	3	1	g		IV Iny	Amp.	1	0	0	68	ROCHE	Productos Roche Ltda.
7	9	ACCUPRIL	10mg Tab. x 28	4	10	mg			Tab.	28	0	0	57	PFIZER	Laboratorio Pfizer de Chile S.A.
8	9	ACCUPRIL	20mg Tab. x 28	5	20	mg			Tab.	28	0	0	57	PFIZER	Laboratorio Pfizer de Chile S.A.
9	14	ACEITE RICINO PURO	Env. Plást. x 30ml	1	0				Env.	0	0	30	65	RECCIUS	Laboratorios Reccius Ltda.
10	14	ACEITE RICINO PURO	Env. Plást. x 30ml Grosella	3	0				Env.	0	0	30	65	RECCIUS	Laboratorios Reccius Ltda.
11	14	ACEITE RICINO PURO	Env. Plást. x 30ml Menta	2	0				Env.	0	0	30	65	RECCIUS	Laboratorios Reccius Ltda.
12	18	ACEITE RICINO	Aceite x 30ml	1	0				Aceite	0	0	30	91	VOLTA	Laboratorio Volta Ltda.
13	18	ACEITE RICINO	Aceite x 30ml s/menta	2	0				Aceite	0	0	30	91	VOLTA	Laboratorio Volta Ltda.
14	19	ACEITE RICINO	Fco. Aceite x 20ml Frutilla	3	0				Aceite	0	0	20	90	VALMA	Laboratorio Valma Ltda.
15	19	ACEITE RICINO	Fco. Aceite x 20ml Menta	4	0				Aceite	0	0	20	90	VALMA	Laboratorio Valma Ltda.
16	19	ACEITE RICINO	Fco. Aceite x 20ml Puro	1	0				Aceite	0	0	20	90	VALMA	Laboratorio Valma Ltda.
17	23	ACERDIL D	Comp. x 30 c/porta Blst.	2	0				Comp.	30	0	0	64	RECALCINE	Laboratorios Recalcine S.A.
18	23	ACERDIL D	Tab. x 20	3	0				Tab.	20	0	0	64	RECALCINE	Laboratorios Recalcine S.A.
19	24	ACETATO DE SODIO	30% Amp. x 5 x 10ml	1	30	%			Amp.	5	0	10	74	SANDERSON	Laboratorio Sanderson S.A.
20	28	ACEVIT	Gotas x 30ml	1	0				Gotas	0	0	30	64	RECALCINE	Laboratorios Recalcine S.A.
21	29	ACICLOVIR	200mg Comp. x 30	1	200	mg			Comp.	30	0	0	83	CHEMOPHARMA	Ver SANITAS
22	29	ACICLOVIR	5% Derm. Crema x 15g	2	5	%		Derm.	Crema	0	0	15	83	CHEMOPHARMA	Ver SANITAS
23	29	ACICLOVIR	5% Derm. Crema x 5g	3	5	%		Derm.	Crema	0	0	5	83	CHEMOPHARMA	Ver SANITAS
24	30	ACICLOVIR L.CH.	200mg Comp. x 25	2	200	mg			Comp.	25	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
25	30	ACICLOVIR L.CH.	3% Oft. Ung. x 3.5g	5	3	%		Oft.	Ung.	0	0	3,5	18	CHILE LAB.	Laboratorios Chile S.A.
26	30	ACICLOVIR L.CH.	400mg Comp. x 35	6	400	mg			Comp.	35	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
27	30	ACICLOVIR L.CH.	5% Crema x 15g	4	5	%			Crema	0	0	15	18	CHILE LAB.	Laboratorios Chile S.A.
28	30	ACICLOVIR L.CH.	5% Crema x 5g	3	5	%			Crema	0	0	5	18	CHILE LAB.	Laboratorios Chile S.A.
29	31	ACIDO ACETILSALICILICO	100mg Tab. x 600	2	100	mg			Tab.	600	0	0	56	PASTEUR	Laboratorios Pasteur Ltda.
30	31	ACIDO ACETILSALICILICO	500mg Tab. x 600	1	500	mg			Tab.	600	0	0	56	PASTEUR	Laboratorios Pasteur Ltda.
31	33	ACIDO ASCORBICO	100mg Comp. x 100	2	100	mg			Comp.	100	0	0	90	VALMA	Laboratorio Valma Ltda.
32	33	ACIDO ASCORBICO	100mg Comp. x 500	3	100	mg			Comp.	500	0	0	90	VALMA	Laboratorio Valma Ltda.
33	36	ACIDO ASCORBICO	100mg Amp. x 100 x 1ml	1	100	mg			Amp.	100	0	1	74	SANDERSON	Laboratorio Sanderson S.A.
34	39	ACIDO DEHIDROCOLICO L.CH.	250mg Comp. x 20	1	250	mg			Comp.	20	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
35	41	ACIDO NALIDIXICO L.CH.	500mg Comp. x 20	1	500	mg			Comp.	20	0	0	18	CHILE LAB.	Laboratorios Chile S.A.
36	44	ACNAID JABON	Barra x 100g	1	0				Barra	0	0	100	86	STIEFEL	Laboratorios Stiefel de Chile y Cia. Ltda.
37	51	ACTAN	20mg Caps. x 30	2	20	mg			Caps.	30	0	0	77	SAVAL	Laboratorio Saval S.A.
