Sustancias_Clave	Sustancias_Descripcion
1	Xilitol
7	Heparinoide
16	Hexilresorcinol
22	Hidroclorotiazida
23	Zolpidem
24	Tramadol
25	Hidrocortisona
29	Acebutolol
30	Acarbosa
32	Aceite de pescado
34	Aceites esenciales
35	Treonina
42	Acetazolamida
45	Acetilglutamina
47	Acidos grasos esenciales
48	Acetona
52	Hidroquinona
55	Acetilsalicílico ácido
62	Aminoacético ácido
65	Ascórbico ácido
66	Benzoico ácido
77	Cítrico ácido
78	Hidroxipropilmetilcelulosa
79	Dehidrocólico ácido
81	Vitamina B12
82	Docosahexaenoico ácido
85	Hierro
87	Eicosapentaenoico ácido
91	Esteárico ácido
93	Trospio cloruro
95	Fusídico ácido
97	Fólico ácido
99	Histamina
101	Glicólico ácido
102	Glutámico ácido
105	Linoleico ácido
106	Láctico ácido
107	Mefenámico ácido
109	Vacuna antituberculosa
112	Homatropina
113	Nalidíxico ácido
114	Hormona adrenocorticotrópica hipofisaria
116	Hormona foliculoestimulante
117	Oleico ácido
122	Pipemídico ácido
124	Gonadotropina menopáusica humana
126	Hígado extracto
128	Ibuprofeno
131	Salicílico ácido
134	Tartárico ácido
139	Ifosfamida
142	Imipramina
144	Vacuna antisarampionosa
145	Undecilénico ácido
147	Indapamida
149	Indometacina
150	Ursodesoxicólico ácido
151	Inmunoglobulina
153	Desogestrel
154	Valproico ácido
155	Inositol
158	Vigabatrín
159	Acipimox
160	Aciclovir
161	Adifenina
163	Adrenalina
169	Yodo
171	Alantoína
172	Clioquinol
173	Albendazol
175	Albúmina humana
182	Ipratropio bromuro
183	Triclosán
194	Alcanfor
196	Bifidobacterium longum
197	Isopropilo lanolato
199	Eucaliptol
205	Alcohol polivinílico
210	Alfa tocoferol
216	Nicotínico ácido
218	Isosorbide 5-mononitrato
219	Alopurinol
221	Isosorbide dinitrato
224	Aloe vera
225	Isotretinoína
226	Estramustina
227	Aloína
228	Acetilcarnitina
229	Alprazolam
230	Itraconazol
233	Ketamina
236	Ketazolam
238	Ketoconazol
241	Ketoprofeno
245	Ketorolac
246	Salmeterol + fluticasona
247	Ketotifeno
249	Aluminio estearato
253	Lípidos
254	Aluminio hidróxido
262	Amantadina
264	Ambroxol
273	Amikacina
275	Amfotericina B
279	Amilorida
288	Aminofilina
289	Isoleucina
293	Amiodarona
296	Amisulprida
298	Cefpodoxima
299	Amitriptilina
303	Lactosa
304	Lactulosa
306	Lanolina
307	Ictamol
309	Amonio lactato
311	Amonio cloruro
314	Amoxicilina
317	Ampicilina
325	Leucovorina cálcica
334	Levobunolol
335	Levoglutamina
340	Octatropina
346	Lidocaína
350	Lincomicina
353	Lindano
355	Linestrenol
358	Aspartamo
362	Atapulgita
364	Atenolol
365	Atropina
366	Lisina
368	Lisina acetilsalicilato
372	Lisinopril
379	Litio carbonato
386	Lomifilina
389	Azufre
390	Loperamida
396	Loratadina
398	Lorazepam
401	Lormetazepam
402	Lovastatín
404	Magaldrato
405	Magnesio
412	Magnesio carbonato
413	Magnesio citrato
414	Magnesio cloruro
420	Magnesio hidróxido
424	Magnesio lactato
427	Pemolina
430	Magnesio sulfato
431	Magnesio trisilicato
433	Maltodextrina
434	Manganeso
435	Magnesio hipofosfito
436	Manitol
439	Mebendazol
442	Medroxiprogesterona
444	Megestrol
447	Meglumina yoxagalato
448	Meglumina yoxitalamato
449	Mentol
452	Mequitazina
453	Mesna
454	Mestranol
468	Metildopa
473	Metilo salicilato
477	Metilprednisolona
479	Metionina
480	Metoclopramida
484	Metolazona
486	Metoprolol
488	Metotrexato
489	Metronidazol
492	Mianserina
493	Miconazol
