Productos_Clave	Productos_Descripcion	Importancia	Sustancias_Clave	Sustancias_Descripcion
1	AB	0	1014	Clorhexidina
4	ABECIDIN A C D	1	65	Ascórbico ácido
4	ABECIDIN A C D	2	654	Vitamina A
4	ABECIDIN A C D	3	1570	Ergocalciferol
6	ABINOL	0	398	Lorazepam
7	ACANTEX	0	2539	Ceftriaxona
9	ACCUPRIL	0	1787	Quinapril
14	ACEITE RICINO PURO	0	1790	Aceite de ricino
18	ACEITE RICINO	0	1790	Aceite de ricino
19	ACEITE RICINO	0	1790	Aceite de ricino
23	ACERDIL D	1	22	Hidroclorotiazida
23	ACERDIL D	2	372	Lisinopril
24	ACETATO DE SODIO	0	2151	Sodio acetato
28	ACEVIT	1	65	Ascórbico ácido
28	ACEVIT	2	654	Vitamina A
28	ACEVIT	3	1570	Ergocalciferol
29	ACICLOVIR	0	160	Aciclovir
30	ACICLOVIR L.CH.	0	160	Aciclovir
31	ACIDO ACETILSALICILICO	0	55	Acetilsalicílico ácido
33	ACIDO ASCORBICO	0	65	Ascórbico ácido
36	ACIDO ASCORBICO	0	65	Ascórbico ácido
39	ACIDO DEHIDROCOLICO L.CH.	0	79	Dehidrocólico ácido
41	ACIDO NALIDIXICO L.CH.	0	113	Nalidíxico ácido
51	ACTAN	0	1637	Fluoxetina
52	ACTEBRAL	1	1006	Procaína
52	ACTEBRAL	2	2746	GABA
52	ACTEBRAL	3	2673	Hematoporfirina clorhidrato
53	ACTIFEDRIN	1	2062	Seudoefedrina
53	ACTIFEDRIN	2	2770	Triprolidina
54	ACTIFEDRIN ANTITUSIVO	1	1049	Codeína
54	ACTIFEDRIN ANTITUSIVO	2	2062	Seudoefedrina
54	ACTIFEDRIN ANTITUSIVO	3	2770	Triprolidina
58	ACUODE	0	2136	Vitamina D3
60	ADALAT CAPSULAS	0	576	Nifedipina
61	ADALAT OROS	0	576	Nifedipina
62	ADALAT RETARD	0	576	Nifedipina
64	ADAX	0	229	Alprazolam
74	AERO ITAN	1	480	Metoclopramida
74	AERO ITAN	2	996	Clordiazepóxido
74	AERO ITAN	3	1291	Simeticona
79	AEROGASTROL	1	480	Metoclopramida
79	AEROGASTROL	2	996	Clordiazepóxido
79	AEROGASTROL	3	1291	Simeticona
80	AEROLIN	0	1272	Salbutamol
82	AFLOGOL	0	2153	Paraaminobenzoico ácido
91	AGUA DEL CARMEN	9	449	Mentol
91	AGUA DEL CARMEN	9	2065	Romero esencia
91	AGUA DEL CARMEN	9	2111	Limón esencia
91	AGUA DEL CARMEN	9	2298	Clavo esencia
91	AGUA DEL CARMEN	9	2773	Canela
91	AGUA DEL CARMEN	9	2838	Melisa
92	AGUA DE MELISA CARMINATIVA	9	449	Mentol
92	AGUA DE MELISA CARMINATIVA	9	2047	Nuez moscada
92	AGUA DE MELISA CARMINATIVA	9	2065	Romero esencia
92	AGUA DE MELISA CARMINATIVA	9	2111	Limón esencia
92	AGUA DE MELISA CARMINATIVA	9	2298	Clavo esencia
92	AGUA DE MELISA CARMINATIVA	9	2712	Metilo antranilato
92	AGUA DE MELISA CARMINATIVA	9	2773	Canela
92	AGUA DE MELISA CARMINATIVA	9	2838	Melisa
93	AGUA OXIGENADA	0	2178	Agua oxigenada
102	AKINETON	0	643	Biperideno
107	ALCOHOL ALCANFORADO 10%	0	194	Alcanfor
109	ALCOHOL ALCANFORADO 10%	0	194	Alcanfor
110	ALCOHOL YODADO 0,65%	1	169	Yodo
110	ALCOHOL YODADO 0,65%	2	1320	Sodio yoduro
116	ALERGAN	0	396	Loratadina
118	ALEXAN	0	914	Citarabina
120	ALGEX	0	107	Mefenámico ácido
123	ALGIFEMIN	0	107	Mefenámico ácido
