"DESCRIPTIONID_VTM"	"VTM"	"DESCRIPTIONID_VMP"	"VMP"
"10253421000999113"	"PREPARADO CON MANTECA DE CACAO"	"10689691000999119"	"MANTECA DE CACAO BARRA DE 500 GR"
"10253421000999113"	"PREPARADO CON MANTECA DE CACAO"	"10691141000999116"	"MANTECA DE CACAO LAPIZ GIRATORIO DE 2.5 GR"
"10263821000999118"	"PREPARADO CON MACROGOL, CLORURO DE SODIO, CLORURO DE POTASIO Y BICARBONATO DE SODIO"	"10654061000999112"	"MACROGOL 240 G, CLORURO DE SODIO 5.84 G, POLVO PARA RECONSTITUIR BIDON X 4 L"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"10415771000999111"	"CINC 7.5 MG VITAMINA E 200 MG CAPSULA"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"10438201000999112"	"CINC 1 MG VITAMINA E 10 MG CAPSULA"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"10440251000999113"	"CINC 15 MG VITAMINA E 100 UINT COMPRIMIDO"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"10446971000999111"	"CINC 1.5 MG VITAMINA E 5 UINT CAPSULA"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"10451241000999117"	"CINC 10 MG VITAMINA E 30 UINT COMPRIMIDO"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"6954611000999110"	"CINC 15 MG VITAMINA E 500 MG COMPRIMIDO"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"6954901000999115"	"CINC 20 MG VITAMINA E 50 UINT COMPRIMIDO"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"6954951000999116"	"CINC 40 MG VITAMINA E 30 UINT COMPRIMIDO"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"6954971000999113"	"CINC 5 MG VITAMINA E 200 MG COMPRIMIDO"
"10266501000999118"	"PREPARADO CON CINC Y VITAMINA E"	"6955011000999117"	"CINC 5 MG VITAMINA E 15 UINT COMPRIMIDO"
"10266691000999111"	"PREPARADO CON GINSENG Y LACTATO DE MAGNESIO"	"10266731000999116"	"GINSENG 200MG, LACTATO DE MAGNESIO 368MG, COMPRIMIDO"
"10266821000999113"	"PREPARADO CON GLUCOMANAN"	"10266891000999110"	"GLUCOMANAN 750MG, COMPRIMIDO"
"10266821000999113"	"PREPARADO CON GLUCOMANAN"	"10276321000999112"	"GLUCOMANAN 500. MG, COMPRIMIDO"
"10266821000999113"	"PREPARADO CON GLUCOMANAN"	"10457551000999113"	"GLUCOMANAN 700 MG CAPSULA"
"10267771000999115"	"PREPARADO CON TRIPICOLINATO DE CROMO"	"10267801000999118"	"TRIPICOLINATO DE CROMO 200MCG, COMPRIMIDO"
"10267771000999115"	"PREPARADO CON TRIPICOLINATO DE CROMO"	"10468061000999111"	"TRIPICOLINATO DE CROMO 1.6 MG, COMPRIMIDO"
"10268031000999119"	"PREPARADO CON SIMETICONA Y MOSAPRIDA"	"10268671000999111"	"SIMETICONA 200 MG, MOSAPRIDA 5 MG, COMPRIMIDO"
"10268851000999118"	"PREPARADO CON PIRIDOXINA Y CITRATO DE MAGNESIO"	"10391091000999118"	"PIRIDOXINA 10 MG MAGNESIO 5 MEQ COMPRIMIDO"
"10268851000999118"	"PREPARADO CON PIRIDOXINA Y CITRATO DE MAGNESIO"	"6955421000999117"	"CITRATO MAGNESIO 530 MG PIRIDOXINA 125 MG COMPRIMIDO"
"10269291000999115"	"PREPARADO CON CALCIFEDIOL"	"10269431000999115"	"CALCIFEDIOL 1MCG, COMPRIMIDO"
"10269291000999115"	"PREPARADO CON CALCIFEDIOL"	"10269501000999111"	"CALCIFEDIOL 0.25 MCG, COMPRIMIDO"
"10269841000999110"	"PREPARADO CON DILTIAZEM Y ENALAPRIL"	"10269871000999115"	"DILTIAZEM 180.0 MG, ENALAPRIL 5.0 MG, COMPRIMIDO"
"10271361000999111"	"PREPARADO CON TROGLITAZONA"	"6719361000999115"	"TROGLITAZONA 200 MG COMPRIMIDO"
"10271361000999111"	"PREPARADO CON TROGLITAZONA"	"6719371000999114"	"TROGLITAZONA 400 MG COMPRIMIDO"
"10271491000999113"	"PREPARADO CON KETOCONAZOL Y SECNIDAZOL"	"10271541000999116"	"KETOCONAZOL 200. MG, SECNIDAZOL 250. MG, COMPRIMIDO"
"10271491000999113"	"PREPARADO CON KETOCONAZOL Y SECNIDAZOL"	"10915981000999114"	"KETOCONAZOL 200 MG SECNIDAZOL 250 MG TABLETA VAGINAL"
"10271631000999112"	"PREPARADO CON ISONIAZIDA Y RIFAMPICINA"	"10388641000999112"	"ISONIAZIDA 150 MG RIFAMPICINA 300 MG CAPSULA"
"10271631000999112"	"PREPARADO CON ISONIAZIDA Y RIFAMPICINA"	"6911681000999111"	"ISONIAZIDA 150 MG RIFAMPICINA 300 MG SELLO"
"10271631000999112"	"PREPARADO CON ISONIAZIDA Y RIFAMPICINA"	"6912161000999116"	"ISONIAZIDA 75 MG RIFAMPICINA 150 MG COMPRIMIDO"
"10271701000999111"	"PREPARADO CON TEGAFUR"	"10271771000999118"	"TEGAFUR 100 MG, COMPRIMIDO"
"10272151000999115"	"PREPARADO CON TIAPRIDA"	"10272191000999113"	"TIAPRIDA 100 MG, COMPRIMIDO"
"10272371000999114"	"PREPARADO CON CLOMETIAZOL"	"10272391000999110"	"CLOMETIAZOL 192. MG, COMPRIMIDO"
"10272531000999118"	"PREPARADO CON DEXTROMETORFANO Y BROMHEXINA"	"10700551000999111"	"DEXTROMETORFANO 5 MG BROMHEXINA 4 MG COMPRIMIDO DISPERSABLE"
"10272531000999118"	"PREPARADO CON DEXTROMETORFANO Y BROMHEXINA"	"11076021000999114"	"DEXTROMETORFANO 5 MG/5 ML  BROMHEXINA 4 MG/5 ML SOLUCION ORAL EN ENVASE DE 100 ML"
"10272531000999118"	"PREPARADO CON DEXTROMETORFANO Y BROMHEXINA"	"11106061000999115"	"DEXTROMETORFANO 7.5 MG/5 ML BROMHEXINA 4 MG/5 ML SUSPENSION EN ENVASE DE 120 ML"
"10274351000999111"	"PREPARADO CON VALGANCICLOVIR"	"6883351000999119"	"VALGANCICLOVIR 450 MG COMPRIMIDO"
"10274801000999118"	"PREPARADO CON DISOPROXILO DE TENOFOVIR"	"10389441000999116"	"TENOFOVIR DISOPROXIL 300 MG COMPRIMIDO"
"10275961000999113"	"PREPARADO CON LOPINAVIR Y RITONAVIR"	"10318361000999118"	"LOPINAVIR 200 MG RITONAVIR 50 MG COMPRIMIDO"
"10275961000999113"	"PREPARADO CON LOPINAVIR Y RITONAVIR"	"10936131000999114"	"RITONAVIR 100 MG/5 ML LOPINAVIR 400 MG/5 ML SOLUCION EN FRASCO DE 160 ML"
"10275961000999113"	"PREPARADO CON LOPINAVIR Y RITONAVIR"	"6919561000999116"	"RITONAVIR 33,2 MG LOPINAVIR 133 MG COMPRIMIDO"
"10276031000999112"	"PREPARADO CON ZALCITABINA"	"10276051000999118"	"ZALCITABINA 0.375 MG, COMPRIMIDO"
"10276031000999112"	"PREPARADO CON ZALCITABINA"	"10276081000999113"	"ZALCITABINA 0.75 MG, COMPRIMIDO"
"10276131000999113"	"PREPARADO CON TALNIFLUMATO"	"10276161000999117"	"TALNIFLUMATO 370. MG, COMPRIMIDO"
"10276131000999113"	"PREPARADO CON TALNIFLUMATO"	"11088391000999115"	"TALNIFLUMATO 185 MG/5 ML SOLUCION EN ENVASE DE 150 ML"
"10276211000999113"	"PREPARADO CON ACECLOFENAC"	"6717701000999110"	"ACECLOFENAC 100 MG COMPRIMIDO"
"10276781000999110"	"PREPARADO CON SULFATO DE QUINIDINA"	"10276801000999114"	"QUINIDINA 200 MG, COMPRIMIDO"
"10276921000999113"	"PREPARADO CON CLORHIDRATO DE MEXILETINA"	"6973161000999117"	"CLORHIDRATO MEXILETINA 200 MG CAPSULA"
"10276991000999110"	"PREPARADO CON HIDROCLOROTIAZIDA Y VALSARTAN"	"6885761000999117"	"HIDROCLOROTIAZIDA 25 MG VALSARTAN 160 MG COMPRIMIDO"
"10276991000999110"	"PREPARADO CON HIDROCLOROTIAZIDA Y VALSARTAN"	"6904601000999119"	"HIDROCLOROTIAZIDA 12,5 MG VALSARTAN 160 MG COMPRIMIDO"
"10276991000999110"	"PREPARADO CON HIDROCLOROTIAZIDA Y VALSARTAN"	"6904651000999115"	"HIDROCLOROTIAZIDA 12,5 MG VALSARTAN 80 MG COMPRIMIDO"
"10276991000999110"	"PREPARADO CON HIDROCLOROTIAZIDA Y VALSARTAN"	"7207801000999112"	"HIDROCLOROTIAZIDA 12,5 MG VALSARTAN 320 MG COMPRIMIDO"
"10276991000999110"	"PREPARADO CON HIDROCLOROTIAZIDA Y VALSARTAN"	"7207811000999110"	"HIDROCLOROTIAZIDA 25 MG VALSARTAN 320 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"11037161000999117"	"PARACETAMOL 650 MG/SOBRE FENILEFRINA 10 MG/SOBRE POLVO PARA DILUIR EN SOBRES"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"11076141000999116"	"PARACETAMOL 160 MG/5 ML FENILEFRINA 2.5 MG/ML SOLUCION EN ENVASE DE 150 ML"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"11076471000999118"	"PARACETAMOL 500 MG CLORHIDRATO DE FENILEFRINA 10 MG POLVO PARA DILUIR"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"11088691000999110"	"PARACETAMOL 500 MG/SOBRE FENILEFRINA 8 MG/SOBRE POLVO PARA DILUIR"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7006861000999118"	"PARACETAMOL 200 MG FENILEFRINA 10 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7006881000999110"	"PARACETAMOL 200 MG FENILEFRINA 5 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7007201000999115"	"PARACETAMOL 250 MG FENILEFRINA 6 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7007401000999119"	"PARACETAMOL 300 MG FENILEFRINA 5 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7007431000999114"	"PARACETAMOL 325 MG FENILEFRINA 6,5 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7007511000999115"	"PARACETAMOL 325 MG FENILEFRINA 10 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7007811000999118"	"PARACETAMOL 500 MG FENILEFRINA 5 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7007831000999111"	"PARACETAMOL 500 MG FENILEFRINA 6 MG COMPRIMIDO"
"10278501000999111"	"PREPARADO CON PARACETAMOL Y FENILEFRINA"	"7007851000999117"	"PARACETAMOL 500 MG FENILEFRINA 8 MG COMPRIMIDO"
"10278571000999118"	"PREPARADO CON PARACETAMOL Y CLORFENIRAMINA"	"10278621000999115"	"PARACETAMOL 250 MG, CLORFENIRAMINA 2 MG, COMPRIMIDO"
"10278571000999118"	"PREPARADO CON PARACETAMOL Y CLORFENIRAMINA"	"10439821000999112"	"PARACETAMOL 500 MG CLORFENAMINA 4 MG CAPSULA"
"10278571000999118"	"PREPARADO CON PARACETAMOL Y CLORFENIRAMINA"	"10725441000999113"	"CLORFENIRAMINA 4 MG PARACETAMOL 325 MG CAPSULA"
"10278571000999118"	"PREPARADO CON PARACETAMOL Y CLORFENIRAMINA"	"11040651000999110"	"PARACETAMOL 125 MG/5 ML CLORFENAMINA 2.5 MG/5 ML SOLUCION EN ENVASE DE 100 ML"
"10278571000999118"	"PREPARADO CON PARACETAMOL Y CLORFENIRAMINA"	"7007251000999116"	"PARACETAMOL 300 MG CLORFENAMINA 3 MG COMPRIMIDO"
"10278571000999118"	"PREPARADO CON PARACETAMOL Y CLORFENIRAMINA"	"7007731000999116"	"PARACETAMOL 500 MG CLORFENAMINA 4 MG COMPRIMIDO"
"10278721000999110"	"PREPARADO CON CAFEINA Y ACETANILIDA"	"10454181000999117"	"CAFEINA 50 MG ACETANILIDA 200 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"10428111000999119"	"ACIDO ACETIL SALICILICO 500 MG CAFEINA 30 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6880031000999118"	"ACIDO ACETIL SALICILICO 300 MG CAFEINA 100 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6880151000999111"	"ACIDO ACETIL SALICILICO 324 MG CAFEINA 16,1 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6880391000999116"	"ACIDO ACETIL SALICILICO 388 MG CAFEINA 32,3 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6880631000999112"	"ACIDO ACETIL SALICILICO 400 MG CAFEINA 20 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6880711000999114"	"ACIDO ACETIL SALICILICO 480 MG CAFEINA 50 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6880881000999112"	"ACIDO ACETIL SALICILICO 500 MG CAFEINA 20 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6880921000999117"	"ACIDO ACETIL SALICILICO 500 MG CAFEINA 40 MG COMPRIMIDO"
"10279111000999111"	"PREPARADO CON ACIDO ACETIL SALICILICO Y CAFEINA"	"6881151000999116"	"ACIDO ACETIL SALICILICO 650 MG CAFEINA 65 MG COMPRIMIDO"
"10279311000999114"	"PREPARADO CON FLAVOXATO Y PROPIFENAZONA"	"10434121000999115"	"FLAVOXATO 200 MG PROPIFENAZONA 250 MG COMPRIMIDO"
"10280321000999119"	"PREPARADO CON LEVODOPA Y BENSERAZIDA"	"10280351000999110"	"LEVODOPA 50 MG, BENSERAZIDA 12,5 MG, COMPRIMIDO DISPERSABLE"
"10280321000999119"	"PREPARADO CON LEVODOPA Y BENSERAZIDA"	"11476691000999110"	"LEVODOPA 100 MG BENSERAZIDA 25 MG COMPRIMIDOS DISPERSABLE"
"10280321000999119"	"PREPARADO CON LEVODOPA Y BENSERAZIDA"	"6917411000999110"	"LEVODOPA 100 MG BENSERAZIDA 25 MG COMPRIMIDOS"
"10280321000999119"	"PREPARADO CON LEVODOPA Y BENSERAZIDA"	"6917601000999114"	"LEVODOPA 200 MG BENSERAZIDA 50 MG COMPRIMIDO"
"10280371000999118"	"PREPARADO CON LEVODOPA Y CARBIDOPA"	"10313871000999113"	"LEVODOPA 100 MG Y CARBIDOPA 25 MG COMPRIMIDO"
"10280371000999118"	"PREPARADO CON LEVODOPA Y CARBIDOPA"	"6714841000999111"	"CARBIDOPA 25 MG LEVODOPA 250 MG COMPRIMIDO"
"10280371000999118"	"PREPARADO CON LEVODOPA Y CARBIDOPA"	"6917351000999117"	"LEVODOPA 10  MG CARBIDOPA 2,5 MG SELLO"
"10280371000999118"	"PREPARADO CON LEVODOPA Y CARBIDOPA"	"6976361000999110"	"LEVODOPA 200 MG CARBIDOPA 50 MG COMPRIMIDO LIBERACION MODIFICADA"
"10280651000999119"	"PREPARADO CON LOFLAZEPATO DE ETILO"	"10280751000999111"	"LOFLAZEPATO DE ETILO 2 MG, COMPRIMIDO"
"10280891000999111"	"PREPARADO CON CRATAEGUS"	"10470091000999114"	"CRATAEGUS 270 MG CAPSULA"
"10281551000999114"	"PREPARADO CON ERDOSTEINA"	"10281571000999117"	"ERDOSTEINA 300 MG, COMPRIMIDO"
"10281551000999114"	"PREPARADO CON ERDOSTEINA"	"11097041000999114"	"ERDOSTEINA 175 MG/5 ML SOLUCION PARA RECONSTITUIR EN 100 ML"
"10281641000999113"	"PREPARADO CON AMBROXOL Y PSEUDOEFEDRINA"	"10281671000999118"	"AMBROXOL 25 MG, PSEUDOEFEDRINA 30 MG, COMPRIMIDO"
"10282341000999114"	"PREPARADO CON DIFENHIDRAMINA Y PSEUDOEFEDRINA"	"10282421000999113"	"DIFENHIDRAMINA 25 MG, PSEUDOEFEDRINA 60 MG, COMPRIMIDO"
"10282341000999114"	"PREPARADO CON DIFENHIDRAMINA Y PSEUDOEFEDRINA"	"11129981000999110"	"DIFENHIDRAMINA 12.5 MG/5 ML PSEUDOEFEDRINA 30 MG/5 ML SUSPENSION EN ENVASE DE 140 ML"
"10282341000999114"	"PREPARADO CON DIFENHIDRAMINA Y PSEUDOEFEDRINA"	"11130001000999112"	"DIFENHIDRAMINA 12.5 MG/5 ML PSEUDOEFEDRINA 30 MG/5 ML SUSPENSION EN ENVASE DE 120 ML"
"10282521000999112"	"PREPARADO CON PARGEVERINA Y CLONIXINATO DE LISINA"	"10559791000999112"	"CLONIXINATO DE LISINA 125 MG  PARGEVERINA 10 MG COMPRIMIDO"
"10286111000999113"	"PREPARADO CON IODURO DE OXAPIO E IBUPROFENO"	"10286131000999115"	"IBUPROFENO 400.0 MG, IODURO DE OXAPIO 10.0 MG, COMPRIMIDO"
"10286191000999116"	"PREPARADO CON EPOMEDIOL"	"10286231000999113"	"EPOMEDIOL 200 MG, COMPRIMIDO"
"10286491000999111"	"PREPARADO CON NITROFURANTOINA"	"10373701000999116"	"NITROFURANOTINA 25 MG/5 ML SUSPENSION EN FRASCO DE 120 ML"
"10286491000999111"	"PREPARADO CON NITROFURANTOINA"	"5408151000999118"	"NITROFURANTOINA 100 MG COMPRIMIDO"
"10287041000999110"	"PREPARADO CON BALSALAZIDA"	"7195901000999112"	"BALSALAZIDA 750 COMPRIMIDO"
"10287241000999118"	"PREPARADO CON ECHINACEA"	"10287291000999114"	"ECHINACEA 400 MG, COMPRIMIDO"
"10287661000999116"	"PREPARADO CON METOCLOPRAMIDA Y SIMETICONA"	"6972381000999117"	"METOCLOPRAMIDA 10 MG SIMETICONA 100 MG COMPRIMIDO"
"10287661000999116"	"PREPARADO CON METOCLOPRAMIDA Y SIMETICONA"	"6972421000999114"	"METOCLOPRAMIDA 10 MG SIMETICONA 300 MG COMPRIMIDO"
"10287661000999116"	"PREPARADO CON METOCLOPRAMIDA Y SIMETICONA"	"6972461000999116"	"METOCLOPRAMIDA 10 MG SIMETICONA 40 COMPRIMIDO"
"10287661000999116"	"PREPARADO CON METOCLOPRAMIDA Y SIMETICONA"	"6972501000999116"	"METOCLOPRAMIDA 10 MG SIMETICONA 50 MG COMPRIMIDO"
"10287661000999116"	"PREPARADO CON METOCLOPRAMIDA Y SIMETICONA"	"6972521000999113"	"METOCLOPRAMIDA 10 MG SIMETICONA 60 MG COMPRIMIDO"
"10287661000999116"	"PREPARADO CON METOCLOPRAMIDA Y SIMETICONA"	"6972561000999115"	"METOCLOPRAMIDA 10 MG SIMETICONA 80 MG COMPRIMIDO"
"10287841000999119"	"PREPARADO CON GALOPAMILO"	"10287871000999114"	"GALOPAMILO 50 MG, COMPRIMIDO"
"10288171000999118"	"PREPARADO CON NICARDIPINA"	"10288421000999110"	"NICARDIPINA 20 MG, COMPRIMIDO"
"10289551000999113"	"PREPARADO CON CISTINA Y PIRIDOXINA"	"10289601000999110"	"PIRIDOXINA 50 MG, CISTINA 500 MG, COMPRIMIDO"
"10289551000999113"	"PREPARADO CON CISTINA Y PIRIDOXINA"	"10290011000999111"	"PIRIDOXINA 100 MG, CISTINA 500 MG, COMPRIMIDO"
"10289821000999119"	"PREPARADO CON CISTINA"	"10931821000999114"	"L-CISTINA 250 MG COMPRIMIDO"
"10289821000999119"	"PREPARADO CON CISTINA"	"11037291000999116"	"L-CISTINA 750 MG/SOBRE POLVO EN SOBRES"
"10290251000999116"	"PREPARADO CON VITAMINA E Y FOSFATIDILCOLINA"	"10290181000999116"	"VITAMINA E 4 MG, FOSFATIDILCOLINA 150 MG, COMPRIMIDOS"
"10291131000999110"	"PREPARADO CON PAPAVERINA Y METAMIZOL SODICO"	"10291251000999111"	"METAMIZOL SODICO 400 MG, PAPAVERINA 30 MG, COMPRIMIDO"
"10294251000999114"	"PREPARADO CON DICLOFENAC Y MISOPROSTOL"	"10294281000999119"	"DICLOFENAC 50 MG, MISOPROSTOL 200 MCG, COMPRIMIDO"
"10294251000999114"	"PREPARADO CON DICLOFENAC Y MISOPROSTOL"	"10294891000999115"	"DICLOFENAC 75 MG, MISOPROSTOL 200 MCG, COMPRIMIDO"
"10300001000999116"	"SOLUCION RINGER LACTATO SOLUCION X 250 ML, SACHET"	"10300011000999118"	"SOLUCION RINGER LACTATO SOLUCION X 500 ML, SACHET"
"10300001000999116"	"SOLUCION RINGER LACTATO SOLUCION X 250 ML, SACHET"	"10300021000999113"	"SOLUCION RINGER LACTATO SOLUCION X 1000 ML, SACHET"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"5407581000999119"	"LEVOTIROXINA SODICA 50 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"5407601000999111"	"LEVOTIROXINA SODICA 100 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6719401000999112"	"LEVOTIROXINA SODICA 125 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6719421000999115"	"LEVOTIROXINA SODICA 150 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6719441000999114"	"LEVOTIROXINA SODICA 25 MCG COMPRIMIDO"
"10301181000999118"	"PREPARADO CON LEVOTIROXINA SODICA"	"6719461000999113"	"LEVOTIROXINA SODICA 75 MCG COMPRIMIDO"
