DESCRIPTIONID_VTM;VTM;CuentaDeVMP;Acumulado;GRUPO VTM
10490541000999117;ACEITE MINERAL SOLUCION EN ENVASE DE 1000 ML;5;5;GRUPO 1
10477361000999118;ACEITES VEGETALES 0.5 ML/ML, ACIDO OLEICO 0.05 ML/ML, ENVASE DE 250 ML;4;9;GRUPO 1
7024381000999119;ACIDO SALICILICO 6 MG/G OXIDO DE ZINC 200 MG/G POLVO CUTANEO;2;11;GRUPO 1
10719461000999115;ALCOHOL BENCILICO Y AMILMETACRESOL;1;12;GRUPO 1
10668041000999114;BUPIVACAINA 25 MG/10 ML EPINEFRINA 0.05 MG/10 ML SOLUCION EN AMPOLLA;1;13;GRUPO 1
10669951000999119;BUPIVACAINA 75 MG/10 ML EPINEFRINA 0.05 MG/10 ML SOLUCION EN AMPOLLA;2;15;GRUPO 1
10438921000999110;ESOMEPRAZOL 5 MG CAPSULA;1;16;GRUPO 1
10555501000999114;ETANOL 70 % CON GLICERINA Y ALOE VERA, GEL EN FRASCO DE 500 ML;1;17;GRUPO 1
8631071000999119;FENILBUTIRATO DE SODIO 100 G POLVO;1;18;GRUPO 1
10350461000999119;GELATINA PORCINA 100 %, APOSITO;1;19;GRUPO 1
10422781000999111;LIDOCAINA 1% EPINEFRINA 5MCG/ML SOLUCION EN AMPOLLA DE 20 ML;1;20;GRUPO 1
10423351000999113;LIDOCAINA 2% EPINEFRINA 5 MCG/ML SOLUCION EN AMPOLLA DE 20 ML;1;21;GRUPO 1
9515011000999113;OXITOCINA 10 UI, AMPOLLA, INTRAVENOSA;1;22;GRUPO 1
11261511000999115;PREAPRADO CON CLORANFENICOL Y NAFAZOLINA;1;23;GRUPO 1
10418881000999110;PREAPRADO CON NILUTAMIDA;1;24;GRUPO 1
10640381000999112;PREPARADO  CON LOTEPREDNOL Y TOBRAMICINA;1;25;GRUPO 1
6879461000999118;PREPARADO ACIDO ACETIL SALICILICO;19;44;GRUPO 1
6881731000999111;PREPARADO ACIDO AMINOCAPROICO;3;47;GRUPO 1
6892361000999111;PREPARADO ACIDO FOLICO;12;59;GRUPO 1
6892001000999113;PREPARADO ACIDO FOLICO Y HIERRO;4;63;GRUPO 1
6977861000999116;PREPARADO BROMURO NEOSTIGMINA;2;65;GRUPO 1
6877281000999116;PREPARADO CALCITONINA;2;67;GRUPO 1
10321351000999118;PREPARADO CON  EFAVIRENZ;3;70;GRUPO 1
