CODIGO|DESCRIPTOR|CAPITULO_NUM|CAPITULO_TITULO|VERSION
2662|BOTULISMO|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A052|INTOXICACION ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS (CLOSTRIDIUM WELCHII)|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A053|INTOXICACION ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A054|INTOXICACION ALIMENTARIA DEBIDA A BACILLUS CEREUS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A058|OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A059|INTOXICACION ALIMENTARIA BACTERIANA, NO ESPECIFICADA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A060|DISENTERIA AMEBIANA AGUDA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A061|AMEBIASIS INTESTINAL CRONICA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A062|COLITIS AMEBIANA NO DISENTERICA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A063|AMEBOMA INTESTINAL|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A064|ABSCESO AMEBIANO DEL HIGADO|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A065|ABSCESO AMEBIANO DEL PULMON|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A066|ABSCESO AMEBIANO DEL CEREBRO|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A067|AMEBIASIS CUTANEA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A068|INFECCION AMEBIANA DE OTRAS LOCALIZACIONES|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A069|AMEBIASIS, NO ESPECIFICADA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A070|BALANTIDIASIS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A071|GIARDIASIS (LAMBLIASIS)|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A072|CRIPTOSPORIDIOSIS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A073|ISOSPORIASIS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A078|OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A079|ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A080|ENTERITIS DEBIDA A ROTAVIRUS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A081|GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A082|ENTERITIS DEBIDA A ADENOVIRUS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A083|OTRAS ENTERITIS VIRALES|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A084|INFECCION INTESTINAL VIRAL, SIN OTRA ESPECIFICACION|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A085|OTRAS INFECCIONES INTESTINALES ESPECIFICADAS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A090|Otras gastroenteritis y colitis no especificadas de origen infeccioso|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A099|Gastroenteritis y colitis de origen no especificado|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A000|COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A001|COLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A009|COLERA, NO ESPECIFICADO|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A010|FIEBRE TIFOIDEA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A011|FIEBRE PARATIFOIDEA A|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A012|FIEBRE PARATIFOIDEA B|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A013|FIEBRE PARATIFOIDEA C|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A014|FIEBRE PARATIFOIDEA, NO ESPECIFICADA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A020|ENTERITIS DEBIDA A SALMONELLA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A021|SEPTICEMIA DEBIDA A SALMONELLA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A022|INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A028|OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A029|INFECCION DEBIDA A SALMONELLA, NO ESPECIFICADA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A030|SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A031|SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A032|SHIGELOSIS DEBIDA A SHIGELLA BOYDII|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A033|SHIGELOSIS DEBIDA A SHIGELLA SONNEI|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A038|OTRAS SHIGELOSIS|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A039|SHIGELOSIS DE TIPO NO ESPECIFICADO|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A040|INFECCION DEBIDA A ESCHERICHIA COLI ENTEROPATOGENA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A041|INFECCION DEBIDA A ESCHERICHIA COLI ENTEROTOXIGENA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A042|INFECCION DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A043|INFECCION DEBIDA A ESCHERICHIA COLI ENTEROHEMORRAGICA|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
A044|OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI|A00-A09|ENFERMEDADES INTESTINALES INFECCIOSAS|2010_DEIS
